date,product_id,vendor,category,price
2026-04-27,6029499,woolworths,toilet_paper,8.0
2026-04-27,6029501,woolworths,toilet_paper,1.75
2026-04-27,6029743,woolworths,toilet_paper,3.0
2026-04-27,6029750,woolworths,toilet_paper,4.0
2026-04-27,6029751,woolworths,toilet_paper,2.4
2026-04-27,6029752,woolworths,toilet_paper,2.4
2026-04-27,6030024,woolworths,toilet_paper,10.0
2026-04-27,6030286,woolworths,toilet_paper,10.0
2026-04-27,6031910,woolworths,toilet_paper,2.4
2026-04-27,6032520,woolworths,toilet_paper,3.5
2026-04-27,6032770,woolworths,toilet_paper,3.5
2026-04-27,6033728,woolworths,toilet_paper,3.5
2026-04-27,6037016,woolworths,toilet_paper,1.0
2026-04-27,6041574,woolworths,toilet_paper,19.9
2026-04-27,6042603,woolworths,toilet_paper,1.25
2026-04-27,6042604,woolworths,toilet_paper,1.25
2026-04-27,6042605,woolworths,toilet_paper,1.25
2026-04-27,6044635,woolworths,toilet_paper,2.0
2026-04-27,6044636,woolworths,toilet_paper,2.0
2026-04-27,6046223,woolworths,toilet_paper,1.5
2026-04-27,6048140,woolworths,toilet_paper,16.0
2026-04-27,6052621,woolworths,toilet_paper,4.8
2026-04-27,6052659,woolworths,toilet_paper,7.0
2026-04-27,6055383,woolworths,toilet_paper,10.0
2026-04-27,6056230,woolworths,toilet_paper,5.8
2026-04-27,6056554,woolworths,toilet_paper,25.0
2026-04-27,6057356,woolworths,toilet_paper,11.9
2026-04-27,6059010,woolworths,toilet_paper,5.5
2026-04-27,6059370,woolworths,toilet_paper,14.0
2026-04-27,613587,woolworths,toilet_paper,4.0
2026-04-27,622215,woolworths,toilet_paper,3.5
2026-04-27,622350,woolworths,toilet_paper,3.5
2026-04-27,622351,woolworths,toilet_paper,7.0
2026-04-27,622961,woolworths,toilet_paper,5.0
2026-04-27,622975,woolworths,toilet_paper,5.0
2026-04-27,624144,woolworths,toilet_paper,3.5
2026-04-27,624145,woolworths,toilet_paper,5.5
2026-04-27,624278,woolworths,toilet_paper,5.75
2026-04-27,626508,woolworths,toilet_paper,5.75
2026-04-27,627302,woolworths,toilet_paper,5.75
2026-04-27,627650,woolworths,toilet_paper,5.75
2026-04-27,630968,woolworths,toilet_paper,7.0
2026-04-27,640823,woolworths,toilet_paper,7.0
2026-04-27,660923,woolworths,toilet_paper,5.0
2026-04-27,661654,woolworths,toilet_paper,3.0
2026-04-27,666210,woolworths,toilet_paper,3.5
2026-04-27,66847,woolworths,toilet_paper,1.5
2026-04-27,672105,woolworths,toilet_paper,12.0
2026-04-27,679037,woolworths,toilet_paper,9.0
2026-04-27,684221,woolworths,toilet_paper,5.0
2026-04-27,686983,woolworths,toilet_paper,3.5
2026-04-27,686984,woolworths,toilet_paper,3.5
2026-04-27,686985,woolworths,toilet_paper,3.5
2026-04-27,688164,woolworths,toilet_paper,4.0
2026-04-27,688165,woolworths,toilet_paper,4.0
2026-04-27,688167,woolworths,toilet_paper,3.5
2026-04-27,688169,woolworths,toilet_paper,3.5
2026-04-27,688170,woolworths,toilet_paper,2.5
2026-04-27,688171,woolworths,toilet_paper,3.5
2026-04-27,688172,woolworths,toilet_paper,1.6
2026-04-27,688174,woolworths,toilet_paper,1.6
2026-04-27,688306,woolworths,toilet_paper,2.4
2026-04-27,688308,woolworths,toilet_paper,4.8
2026-04-27,688309,woolworths,toilet_paper,4.8
2026-04-27,688338,woolworths,toilet_paper,1.5
2026-04-27,688384,woolworths,toilet_paper,1.5
2026-04-27,688386,woolworths,toilet_paper,1.5
2026-04-27,688387,woolworths,toilet_paper,1.5
2026-04-27,688389,woolworths,toilet_paper,1.5
2026-04-27,688397,woolworths,toilet_paper,3.0
2026-04-27,688398,woolworths,toilet_paper,2.5
2026-04-27,688399,woolworths,toilet_paper,3.0
2026-04-27,688412,woolworths,toilet_paper,2.5
2026-04-27,688415,woolworths,toilet_paper,2.5
2026-04-27,688416,woolworths,toilet_paper,3.0
2026-04-27,688420,woolworths,toilet_paper,2.5
2026-04-27,688427,woolworths,toilet_paper,2.5
2026-04-27,688428,woolworths,toilet_paper,3.0
2026-04-27,688429,woolworths,toilet_paper,2.5
